,individual,1st_photo,last_photo,bad_picture
1,SP05-EM_220408_OG38_None_0081-F010-00,P1090580,P1090581,reflection or shade
2,SP05-EM_220408_OG38_None_0081-F011-00,P1090583,P1090584,2e bild nicht gemacht
3,SP05-EM_220408_OG38_None_0081-F012-00,P1090588,P1090589,"2 Bild nicht gemacht, reflection"
4,SP05-EM_220408_OG38_None_0081-F013-00,P1090592,,"not all leaves calculated, shadows"
5,SP05-EM_220408_OG38_None_0081-F014-00,P1090595,P1090596,only first pic measured
6,SP05-EM_220408_OG38_None_0081-F015-00,P1090597,P1090599,"only first pic measured, no xx98 picture"
7,SP05-EM_220409_PR26_None_0099-F016-00,P1090734,,
8,SP05-EM_220409_PR26_None_0099-F017-00,P1090738,NA,
9,SP05-EM_220409_PR26_None_0099-F017-00,P1090740,NA,
10,SP05-EM_220409_PR26_None_0099-F018-00,P1090744,NA,
11,SP05-EM_220409_PR26_None_0099-F018-00,P1090745,NA,number attached to leaf
12,SP05-EM_220409_PR26_None_0099-F018-00,P1090746,NA,reflection 
13,SP05-EM_220409_PR26_None_0099-F019-00,P1090749,NA,
14,SP05-EM_220409_PR26_None_0099-F020-00,P1090753,NA,
15,SP05-EM_220409_PR26_None_0099-F021-00,P1090757,P1090758,"2nd picture not measured, 2 leaves not measured in 1st pic"
16,SP05-EM_220409_PR26_None_0099-F022-00,P1090762,NA,
17,SP05-EM_220409_PR26_None_0099-F023-00,P1090766,NA,shadow
18,SP05-EM_220409_PR26_None_0099-F024-00,P1090769,NA,
19,SP05-EM_220409_PR26_None_0099-F025-00,P1090770,NA,shadow
20,SP05-EM_220409_PR26_None_0099-F026-00,P1090773,NA,shadow
21,SP05-EM_220409_PR26_None_0099-F027-00,P1090774,NA,shadow
22,SP05-EM_220405_CR06_None_0101-F001-00,P1090295,,
23,SP05-EM_220405_CR06_None_0101-F002-00,P1090304,,
24,SP05-EM_220405_CR06_None_0101-F003-00,P1090309,P1090310,viereck nicht erkannt
25,SP05-EM_220405_CR06_None_0101-F004-00,P1090314,P1090315,
26,SP05-EM_220405_CR06_None_0101-F004-00,P1090316,NA,
27,SP05-EM_220405_CR06_None_0101-F004-00,P1090317,P1090318,ombre
28,SP05-EM_220405_CR06_None_0101-F005-00,P1090324,,ombre
29,SP05-EM_220406_PR21_None_0102-F006-00,P1090445,,foto fehlt auf first tryout
30,SP05-EM_220406_PR21_None_0102-F007-00,P1090448,,foto fehlt auf first tryout
31,SP05-EM_220406_PR21_None_0102-F007-00,P1090449,NA,
32,SP05-EM_220407_PR21_None_0103-F008-00,P1090473,P1090475,dritte foto fehlt in 1st round
33,SP05-EM_220407_PR21_None_0103-F009-00,P1090477,,dieses Foto wurde nicht genommen
36,SP05-EM_220422_OG49_None_0107-F028-00,P1090929,NA,light shadow problem
37,SP05-EM_220422_OG49_None_0107-F029-00,P1090932,NA,shadow
38,SP05-EM_220422_OG49_None_0107-F030-00,P1090934,NA,no recognition
39,SP05-EM_220422_OG49_None_0107-F031-00,P1090939,NA,shadow
40,SP05-EM_220422_OG49_None_0107-F032-00,P1090941,NA,one leaf in shadow
41,SP05-EM_220422_OG49_None_0107-F033-00,P1090944,NA,
42,SP05-EM_220422_OG49_None_0107-F034-00,P1090947,NA,small leaf no mesarument
43,SP05-EM_220422_CA63_None_0108-F035-00,P1090951,NA,shadow
44,SP05-EM_220422_CA63_None_0108-F035-00,P1090952,NA,shadow
45,SP05-EM_220422_CA63_None_0108-F036-00,P1090954,NA,shadow
46,SP05-EM_220423_OG52_None_0110-F037-00,P1100104,NA,shadow
47,SP05-EM_220423_OG52_None_0110-F038-00,P1100110,NA,no recognition because of leves over margin 
48,SP05-EM_220423_OG52_None_0110-F038-00,P1100112,NA,no recognition because of leves over margin 
49,SP05-ETL_220425_PR34_None_0126-F039-00,P1100277,NA,shadow
50,SP05-ETL_220425_PR34_None_0126-F039-00,P1100278,NA,shadow
51,SP05-ETL_220425_PR34_None_0126-F040-00,P1100283,NA,shadow
52,SP05-ETL_220425_PR34_None_0126-F041-00,P1100286,NA,shadow
53,SP05-ETL_220425_PR34_None_0126-F042-00,P1100288,NA,shadow
54,SP05-ETL_220426_None_None_0127-F043-00,P1100290,NA,shadow
55,SP05-ETL_220426_None_None_0127-F044-00,P1100294,NA,shadow
56,SP05-ETL_220426_None_None_0127-F045-00,P1100297,NA,shadow
57,SP05-ETL_220426_None_None_0127-F046-00,P1100303,NA,shadow
58,SP05-ETL_220426_None_None_0127-F047-00,P1100307,NA,no idea why not?
59,SP05-ETL_220426_None_None_0127-F048-00,P1100310,NA,only one measured
60,SP05-ETL_220426_None_None_0127-F049-00,P1100315,NA,light
61,SP05-ETL_220427_None_None_0128-F050-00,P1100349,NA,shadow
62,SP05-ETL_220427_None_None_0128-F051-00,P1100353,NA,flash
63,SP05-ETL_220427_None_None_0128-F052-00,P1100355,NA,"square wrong, though unsharp leaves perfect xD"
64,SP05-ETL_220427_None_None_0128-F053-00,P1100360,NA,not recognizes
65,SP05-ETL_220427_None_None_0128-F054-00,P1100362,NA,margin touching
66,SP05-ETL_220427_None_None_0128-F054-00,P1100363,NA,margin touching
67,SP05-ETL_220427_None_None_0128-F055-00,P1100366,NA,shadow
68,SP05-ETL_220427_None_None_0128-F056-00,P1100369,NA,shadow
69,SP05-ETL_220428_None_None_0130-F057-00,P1100373,NA,shadow
70,SP05-ETL_220428_None_None_0130-F057-00,P1100375,NA,margins shadow
71,SP05-ETL_220428_None_None_0130-F058-00,P1100379,NA,shadow
72,SP05-ETL_220428_None_None_0130-F058-00,P1100380,NA,shadow
73,SP05-ETL_220428_None_None_0130-F059-00,P1100384,NA,
74,SP05-ETL_220428_None_None_0130-F060-00,P1100386,NA,shadow
75,SP05-ETL_220428_None_None_0130-F061-00,P1100389,NA,shadow
76,SP05-ETL_220428_None_None_0130-F062-00,P1100396,P1100397,only first pict + shadow
77,SP05-ETL_220428_None_None_0130-F063-00,P1100400,NA,shadow
78,SP05-ETL_220428_None_None_0130-F064-00,P1100402,NA,shadow
79,SP05-ETL_220428_None_None_0130-F065-00,P1100405,NA,"light, not recognized"
80,SP05-ETL_220428_None_None_0130-F066-00,P1100411,NA,not all leaves calculated
81,SP05-ETL_220428_None_None_0130-F067-00,P1100414,NA,strange
82,SP05-ETL_220503_PR22_None_0279-F068-00,P1100559,NA,stam not calculated
83,SP05-ETL_220503_PR22_None_0279-F068-00,P1100560,NA,stam not calculated
84,SP05-ETL_220503_PR22_None_0279-F069-00,P1100561,P1100562,"flash, 2nd photo not measured"
85,SP05-ETL_220503_PR22_None_0279-F070-00,P1100563,,
86,SP05-ETL_220503_PR22_None_0279-F070-00,P1100565,NA,
87,SP05-ETL_220503_PR22_None_0279-F070-00,P1100566,NA,
88,SP05-ETL_220503_PR22_None_0279-F070-00,P1100569,,
89,SP05-ETL_220503_PR22_None_0279-F071-00,P1100571,NA,
90,SP05-ETL_220503_PR22_None_0279-F071-00,P1100579,,
91,SP05-ETL_220503_PR22_None_0279-F072-00,P1100584,,1st leaf with number united
92,SP05-ETL_220504_CR05_None_0301-F073-00,P1100628,P1100630,other pictur not measured
93,SP05-ETL_220504_CR05_None_0301-F073-00,P1100631,,
94,SP05-ETL_220504_CR05_None_0301-F073-00,P1100635,,not recognized
95,SP05-ETL_220504_CR05_None_0301-F074-00,P1100637,,
96,SP05-ETL_220504_CR05_None_0301-F074-00,P1100641,,stam not calculated
97,SP05-ETL_220504_CR05_None_0301-F075-00,P1100643,,
98,SP05-ETL_220504_CR05_None_0301-F076-00,P1100645,P1100657,"non perfect, flash or shadow"
99,SP05-ETL_220504_CR05_None_0301-F077-00,P1100648,P1100650,"non perfect, flash or shadow"
